id	parc	x	y	xacc	yacc
A101	A1	9.7	0.65	99.7	0.65
A102	A1	9.63	0.55	99.63	0.55
A103	A1	9.9	1.5	99.9	1.5
A104	A1	9.88	1.6	99.88	1.6
A105	A1	9.91	1.65	99.91	1.65
A106	A1	9.85	1.8	99.85	1.8
A107	A1	9.75	2	99.75	2
A108	A1	9.5	2	99.5	2
A109	A1	9.2	2.5	99.2	2.5
A110	A1	9.2	2.65	99.2	2.65
A111	A1	9.1	2.6	99.1	2.6
A112	A1	9.8	3	99.8	3
A113	A1	9.85	2.7	99.85	2.7
A114	A1	9	7	99	7
A115	A1	8	9	98	9
A116	A1	7.85	9.15	97.85	9.15
A117	A1	7	7	97	7
A118	A1	6.5	5	96.5	5
A119	A1	8	1	98	1
A120	A1	7	0.9	97	0.9
A121	A1	6.9	1.1	96.9	1.1
A122	A1	4	0.9	94	0.9
A123	A1	5	0.95	95	0.95
A124	A1	4.1	1.2	94.1	1.2
A125	A1	4.5	5	94.5	5
A126	A1	5	4.8	95	4.8
A127	A1	4.7	5.5	94.7	5.5
A128	A1	4.8	5.3	94.8	5.3
A129	A1	4.6	5.4	94.6	5.4
A130	A1	4	5.3	94	5.3
A131	A1	4	8	94	8
A132	A1	4	9	94	9
A133	A1	3.5	7	93.5	7
A134	A1	1	7	91	7
A135	A1	0	7	90	7
A136	A1	0	5	90	5
A137	A1	1.5	4.7	91.5	4.7
A138	A1	1.5	1.5	91.5	1.5
A139	A1	3	1.7	93	1.7
A140	A1	0.2	1.2	90.2	1.2
A141	A1	0.5	0.75	90.5	0.75
A142	A1	2.2	1.2	92.2	1.2
A143	A1	0.8	0.5	90.8	0.5
A144	A1	7.5	9.9	97.5	9.9
A201	A2	9	0.5	99	10.5
A202	A2	8.7	0.9	98.7	10.9
A203	A2	8	1	98	11
A204	A2	7.7	0.3	97.7	10.3
A205	A2	7.5	0.4	97.5	10.4
A206	A2	7.3	0.3	97.3	10.3
A207	A2	9	2.1	99	12.1
A208	A2	7.1	2.9	97.1	12.9
A209	A2	6.7	3.3	96.7	13.3
A210	A2	7.2	2.8	97.2	12.8
A211	A2	7.2	0.2	97.2	10.2
A212	A2	6.8	0.1	96.8	10.1
A213	A2	6.6	1.7	96.6	11.7
A214	A2	6.4	0.1	96.4	10.1
A215	A2	7	0.9	97	10.9
A216	A2	6.2	0.4	96.2	10.4
A217	A2	6.1	0.5	96.1	10.5
A218	A2	5.9	0.6	95.9	10.6
A219	A2	4	0	94	10
A220	A2	3.8	0	93.8	10
A221	A2	3.2	1	93.2	11
A222	A2	1.5	2	91.5	12
A223	A2	2	3	92	13
A224	A2	1	1	91	11
A225	A2	1.3	3.1	91.3	13.1
A226	A2	1	3.4	91	13.4
A227	A2	1.1	3.5	91.1	13.5
A228	A2	1.2	3.52	91.2	13.52
A229	A2	1.3	3.7	91.3	13.7
